,title,score,review_num,keyword,category
0,하루쯤 나 혼자 어디라도 가야겠다,9.3,26,"['제주', '디톡스', '아세안', '김병종', '디지털', '여행 초보자']",여행
1,카레부부의 주말여행 버킷리스트,9.2,33,"['제주', '담양', '힐링', '전남', '국내여행', '감성']",여행
2,리얼 국내여행(2021~2022년),10.0,6,"['강원도', '충청도', '군산', '전라도', '경주', '고성']",여행
3,식객 허영만의 백반기행 세트(1-2권)(전2권),8.3,4,"['식당', '국내여행', '대원', '먹방', '부산', '제천']",여행
4,미쉐린 가이드 서울(2022),0.0,0,"['미슐랭', '맛집', '성북구', '레스토랑', '마포구', '식당']",여행
5,오는 날이 장날입니다,8.8,4,"['여행', '강원도', '경상남도', '사계절', '경상북도', '전라북도']",여행
6,특별하게 제주(2021~2022),10.0,2,"['제주시', '빅데이터', '가이드북', '올레', '카페', '맛집']",여행
7,서울의 맛집(2022)(블루리본서베이),10.0,1,"['베이커리', '스콘', '중식', '컨템포러리', '일식', '종로']",여행
8,에이든 제주여행 가이드북,10.0,32,"['제주시', '애월', '남원', '제주도', '성산', '맛집']",여행
9,제주 오름 여행,0.0,0,"['제주시', '백록담', '한라산', '맛집', '오라', '송악산']",여행
10,리얼 제주(2021~2022년),9.6,11,"['제주시', '코로나', '베이커리', '한라산', '여행가이드북', '제주도']",여행
11,아름다운 우리 절을 걷다,9.6,14,"['부처', '간송', '영취산', '학예사', '관세음보살', '스님']",여행
12,만약 우리의 언어가 위스키라고 한다면(양장본 HardCover),9.6,20,"['여행 에세이', '아일랜드', '스코틀랜드', '아일', '아이리시', '카프카']",여행
13,대한민국 베스트셀러 여행지 + 전국 맛집 318(개정판 2판)(블루리본 트래블),10.0,3,"['제주시', '부산광역시', '인천', '도시', '서해안', '금강']",여행
14,제 마음대로 살아보겠습니다,9.5,27,"['유튜브', '여행에세이', '스타트업', '우간다', '세렝게티', '블리치']",여행
15,에이든 세계지도로 세계여행 계획하기 2022-2023(개정판),9.8,16,"['아프리카', '티무르', '몽골', '오세아니아', '시베리아', '콜럼버스']",여행
16,누구에게나 저마다의 여행이 있다,10.0,9,"['승무원', '여행에세이', '칸쿤', '세계여행', '인도', '동유럽']",여행
17,"여행은 맑음, 때때로 흐림",10.0,3,"['코로나', '방콕', '발리', '파타야', '사우디', '여행사']",여행
18,아이들과 캠핑카로 누빈 미국서부 캐나다 핫스팟,10.0,2,"['비치', '호수', '라스베이거스', '디즈니 랜드', '베니스', '미키']",여행
19,나를 부르는 숲,8.6,1751,"['여행에세이', '트레일', '리먼', '공존', '개역', '미국여행']",여행
20,프렌즈 스페인 포르투갈(’20~’21)(Season 8)(8판)(프렌즈 시리즈 10),10.0,11,"['유럽여행', '바르셀로나', '그라나다', '가이드북', '리스본', '여행가이드']",여행
21,대한민국 트레킹 가이드(2판),0.0,0,"['제주', '계곡', '단양', '지리산', '한라산', '동백']",여행
22,오늘부터 차박캠핑(반양장),0.0,4,"['드라이브', '자연', '베스트', '제주도', '영남', '대한민국']",여행
23,아이랑 제주 여행(2021-2022),9.6,21,"['베이커리', '제주시', '놀이', '키즈', '카페', '학습']",여행
24,포르투갈에 물들다,10.0,39,"['리스본', '유럽여행', '포르투', '순례길', '파티마', '오비']",여행
25,프렌즈 미국 서부('19~'20)(Season5)(프렌즈 시리즈 22),9.3,34,"['노츠', '가이드북', '그랜드캐니언', '여행가이드', '밸리', '미국여행']",여행
26,프렌즈 미국 동부('20~'21)(Season 2),8.6,10,"['올랜도', '미국여행', '마이애미', '뉴욕', '시카고', '워싱턴']",여행
27,"작은 캠핑, 다녀오겠습니다(자기만의 방 Room No. 206)",10.0,2,"['심플', '피크닉', '크리에이터', '산책자', '노트', '아이템']",여행
28,무작정 따라하기 하와이(2020-2021)(3판),9.2,12,"['셰프', '무작정', '가이드북', '마우이', '여행가이드', '아일랜드']",여행
29,세계 도보여행 50,9.5,18,"['트레일', '자연', '티베트', '세계여행', '호이안', '문명']",여행
30,하와이 셀프트래블(2020-2021),9.6,29,"['호놀룰루', '가이드북', '마우이', '여행가이드', '아일랜드', '휴양지']",여행
31,에이든 국내여행 가이드북,9.3,64,"['강원도', '핫 플레이스', '충청남도', '경상남도', '경상북도', '전라북도']",여행
32,전국일주 가이드북,10.0,10,"['속초', '거제', '성서원', '구간', '대관령', '한국 관광공사']",여행
33,프렌즈 터키('19~'20)(Season 4)(프렌즈 시리즈 7),8.8,6,"['지중해', '아나톨리아', '파묵칼레', '흑해', '남동', '이스탄불']",여행
34,"서울, 경기, 인천 트레킹 가이드",10.0,13,"['둘레길', '가평', '산성', '동물원', '코스', '강화도']",여행
35,송일준 PD 제주도 한 달 살기,9.7,21,"['제주', '이중섭', '서귀포', '김정희', '쁘띠', '광주']",여행
36,자동차 주말여행 코스북(2020)(전면개정판 3판),9.4,20,"['서해안', '국내여행', '금강', '가이드북', '해안도', '여행가이드']",여행
37,"여행, 그 낯선 설렘",10.0,3,"['피렌체', '용기', '여행지', '행복', '선율', '터미널']",여행
38,에이든 우리나라 제주 여행지도(2021-2022)(개정판),6.8,12,"['서귀포', '가이드북', '한라산', '카페', '여행지', '맛집']",여행
39,프렌즈 파리('19~'20)(Season 4)(프렌즈 시리즈 15),8.1,12,"['구역', '여행가이드북', '몽마르트르', '프랑스여행', '샹젤리제', '메트로']",여행
40,국내여행 버킷리스트 101(죽기 전에 가 봐야 할),9.1,55,"['김삿갓', '국내여행', '정동진', '가이드북', '한옥마을', '여행가이드']",여행
41,리얼 하와이(2020~2021)(리얼 시리즈),10.0,4,"['마켓', '가이드북', '스폿', '여행가이드', '스노클링', '휴양지']",여행
42,"혼자, 천천히, 북유럽",10.0,28,"['드로잉', '여행에세이', '노르웨이', '핀란드', '북유럽여행', '노벨']",여행
43,에이든 우리나라 전국 여행지도 & Mini Guide Book(개정판),9.8,30,"['가평', '국내여행', '춘천', '가이드북', '파주', '여행가이드']",여행
44,전국의 맛집(2021)(블루리본 서베이),9.3,5,"['베이커리', '동구', '중구', '한식', '성남시', '북구']",여행
45,끌림(개정판 2판),9.3,183,"['한국에세이', '시집', '여행 에세이', '캄보디아', '이소라', '모로코']",여행
46,바람이 분다 당신이 좋다,9.3,198,"['한국에세이', '여행 에세이', '이소라', '여행 작가', '스토리텔링', '여행 이야기']",여행
47,무작정 따라하기 파리(2019-2020),9.7,16,"['셰프', '몽마르트르', '여행가이드북', '샹젤리제', '파리여행', '지 베르니']",여행
48,프랑스 와인 여행(2022~2023)(2판)(크레이지 홀리데이 2),10.0,1,"['밸리', '여행가이드북', '부르고뉴', '여행정보', '프로방스', '투어']",여행
49,자전거 여행 바이블: 국토종주편,0.0,0,"['동해안', '국내여행', '영산강', '낙동강', '섬진강', '금강']",여행
50,꼭 한번은 가봐야 할 사찰,9.6,5,"['부처', '오대산', '갓바위', '대원사', '간월암', '향일암']",여행
51,세계지도(글로벌 감각을 익히는)(개정판),9.7,11,"['유럽', '남아메리카', '세계여행', '북아메리카', '중국', '가이드북']",여행
52,프렌즈 뉴욕('19~'20)(Season 5)(개정판 5판)(프렌즈 시리즈 4),9.5,7,"['센트럴 파크', '여행가이드북', '브루클린', '미국여행', '맨해튼', '스트리트']",여행
53,"살아보니, 대만",10.0,11,"['여행에세이', '중국어', '한국어 교육', '샤샤', '한국 문화', '진진']",여행
54,"영진5만 지도 1:50,000(전국편)(수정판)",9.8,12,"['서귀포', '금강', '고성', '항법', '펜션', '스키장']",여행
55,"즐거워, 빵과 커피가 있으면",9.0,3,"['베이커리', '여행', '음식', '브레드', '브런치', '빵집']",여행
56,보통의 우리가 여행하는 법,10.0,4,"['이집트', '낙원', '제리코', '몰디브', '카자흐스탄', '마추픽추']",여행
57,대한민국 둘레길,10.0,2,"['구간', '남해안', '서해안', '목포', '부산', '동해']",여행
58,사월,10.0,1,"['여행', '블라디보스토크', '러시아', '페로', '아이슬란드', '뷰파인더']",여행
59,아 파리(A Paris),8.8,132,"['여행', '유럽여행', '뮤지엄', '브런치', '가이드북', '지엔']",여행
60,백반기행. 2(식객 허영만의),7.8,534,"['식당', '국내여행', '맛집', '먹방', '부산', '인천']",여행
61,자전거 여행 바이블(2020-2021)(2판),8.8,5,"['제주시', '영산강', '국내여행', '섬진강', '테마여행', '금강']",여행
62,이번엔 부산(Enjoy 국내여행 시리즈 6),0.0,2,"['시티투어', '여행가이드북', '남해', '김해', '근교 여행', '범어사']",여행
63,아름다운 사찰여행,9.3,32,"['모악산', '힐링', '산사', '국내여행', '지리산', '테마여행']",여행
64,바르셀로나(Barcelona),9.6,28,"['시에스타', '스페인여행', '크리에이티브', '예쁘다', '크리에이터', '피크닉']",여행
65,대한민국 요즘 여행(2021~2022)(개정판),7.5,1,"['강릉', '춘천', '정동진', '비치', '산토리니', '삼양']",여행
66,프렌즈 동유럽('19~'20)(Season 9)(9판)(프렌즈 시리즈 8),9.5,28,"['체코', '여행가이드북', '유럽여행', '베스트', '프라하', '크로아티아']",여행
67,프렌즈 태국('19~'20)(Season 6)(프렌즈 시리즈 16),10.0,4,"['카오산', '여행가이드북', '방콕', '태국여행', '치앙마이', '아유타야']",여행
68,프렌즈 하와이('19~'20)(Season 5)(프렌즈 시리즈 13),8.8,39,"['여행', '마우이', '여행가이드북', '아일랜드', '루아', '코스트']",여행
69,프렌즈 유럽('19~'20)(Season 8)(프렌즈 시리즈 2),10.0,15,"['스위스', '여행가이드북', '유럽여행', '이탈리아', '프랑스', '우피치']",여행
70,프렌즈 러시아 에스토니아('19~'20)(Season 1)(프렌즈 시리즈 34),10.0,20,"['블라디보스토크', '여행가이드북', '상트페테르부르크', '러시아여행', '모스크바', '러시아어']",여행
71,프렌즈 독일('19~'20)(Season 5)(5판)(프렌즈 시리즈 12),10.0,8,"['프랑크푸르트', '여행가이드북', '뮌헨', '독일여행', '뉘른베르크', '하노버']",여행
72,프렌즈 캐나다('20~'21)(Season1)(프렌즈 시리즈 35),7.2,6,"['메이플', '가이드북', '퀘벡', '여행가이드', '밴쿠버', '캐나다여행']",여행
73,프렌즈 싱가포르(2020-2021)(season5)(5판)(프렌즈 시리즈 19),9.2,13,"['마리나', '가이드북', '로드', '여행가이드', '베이', '동남아여행']",여행
74,대한민국 자동차 캠핑 가이드,10.0,19,"['캠핑카', '캠 핑장', '강원도', '모터', '제주도', '카라반']",여행
75,제주 오름 트레킹 가이드,10.0,14,"['제주시', '올레길', '랜드마크', '제주어', '한라산', '군산']",여행
76,한 끼 식사의 행복: 서울의 소문난 인생 맛집 165곳,8.9,11,"['명동', '평양', '메뉴', '식당', '잔치국수', '우동']",여행
77,전국도로지도,9.4,5,"['시편', '서울', '시가', '철도', '관광', '축소']",여행
78,저스트고 시애틀: 포틀랜드(2019-2020)(Just Go),9.7,21,"['베이커리', '여행가이드북', '나이트', '미국여행', '스트리트', '라이프']",여행
79,저스트고 괌(2020-2021)(카카오프렌즈 스페셜 에디션),9.1,6,"['유럽', '프리미어', '플라자', '다낭', '리조트', '아웃렛']",여행
80,제주 오름 기행,9.7,20,"['추사', '김영갑', '한라산', '중앙일보', '성산 일출봉', '올레길']",여행
81,산티아고 길의 마을과 성당,9.9,20,"['카미노', '포르토', '로스', '레이나', '라바', '피노']",여행
82,여행의 순간,10.0,5,"['공감', '다낭', '교토', '설렘', '상트페테르부르크', '마추픽추']",여행
83,디스 이즈 뉴욕(This is New York)(2019-2020)(개정판)(디스 이즈 시리즈),10.0,21,"['뉴요커', '보스턴', '마켓', '시카고', '나이아가라 폭포', '워싱턴']",여행
