,title,score,review_num,keyword,category
112,"칵테일, 러브, 좀비(안전가옥 쇼-트 2)",9.6,68,"['한국소설', '귀신', '스릴러소설', '작가', '스릴러', '나이프']",소설
113,당신 인생의 이야기(양장본 HardCover),9.7,92,"['소설집', '언어학자', '과학 소설', '만약', '사고 실험', '외모 지상주의']",소설
114,이반 데니소비치 수용소의 하루(세계문학전집 13),9.7,139,"['세계고전문학', '노벨문학상', '호프', '지배 권력', '강제 수용소', '러시아소설']",소설
115,피라네시,9.6,18,"['영미소설', '판타지', 'SF소설', '장편소설', '모험', '나머지 사람']",소설
116,연금술사,9.6,1570,"['모험', '성장소설', '연금술', '언어', '칼 융', '영혼']",소설
117,정령왕 엘퀴네스. 19(양장본 HardCover),10.0,4,"['정령', '고등 학생', '자각', '외전', '프로필', '은빛']",소설
118,비행운,9.4,336,"['소설', '소설집', '한국현대소설', '비극', '서사', '채무자']",소설
119,사서함 110호의 우편물,9.5,698,"['사랑', '다이어리', '이별', '시인', '피디', '무사']",소설
120,바깥은 여름,9.3,2115,"['소설집', '입동', '단편소설', '동인문학상', '시차', '이상문학상']",소설
121,자기 앞의 생(문학동네 세계문학)(양장본 HardCover),9.6,550,"['인생', '소설', '작가', '죽음', '삶', '성장소설']",소설
122,왜 나는 너를 사랑하는가(개정판)(양장본 HardCover),9.1,1389,"['사랑', '연애', '실연', '테러리즘', '러브 스토리', '친밀']",소설
123,콜 미 바이 유어 네임,9.2,64,"['소설', '사랑', '감정', '영화원작소설', '그해 여름', '람다']",소설
124,캑터스,9.5,78,"['인간관계', '영미소설', '선인장', '주연', '오리지널', '사건']",소설
125,도스토옙스키 탄생 200주년 기념판(양장본 HardCover)(전8권),9.5,9,"['작가', '한정판', '씨네', '러시아고전소설', '카라마조프', '세계 문학 전집']",소설
126,위대한 개츠비(세계문학전집 75),9.5,285,"['세계고전문학', '영화원작소설', '텍스트', '번역본', '번역', '결정판']",소설
127,만년(세계문학전집 382),9.6,24,"['인간 실격', '아쿠타가와상', '사양', '작가 특유', '작품', '어릿광대']",소설
128,나의 라임 오렌지나무,9.6,358,"['성장 소설', '제제', '악동', '꼬마', '오역', '가난']",소설
129,나는 소망한다 내게 금지된 것을,9.9,224,"['장편소설', '한국현대소설', '페미니즘', '여성 억압', '장편', '성불평등']",소설
130,게르니카의 황소,10.0,16,"['그림', '살인사건', '현실', '폭력', '천재 화가', '심리 스릴러']",소설
131,라이온의 간식,10.0,10,"['인생', '소설', '죽음', '마음', '게스트', '레몬']",소설
132,쾌: 젓가락 괴담 경연,10.0,21,"['소설집', '저주', '노어', '단편', '장르 문학', '그물']",소설
133,설국(세계문학전집 61),9.4,282,"['세계고전문학', '노벨문학상', '일본 소설', '지방', '작품', '인간 존재']",소설
134,오만과 편견(세계문학전집 88),9.5,446,"['세계고전문학', '영화원작소설', '사랑', '번역 서', '번역본', '번역 과정']",소설
135,영혼 통행증(미야베 월드 제2막),10.0,48,"['일본소설', '귀신', '스릴러소설', '저세상', '남자', '문서']",소설
136,죄와 벌. 1(세계문학전집 284),9.8,171,"['사랑', '세계고전문학', '성경', '완전 범죄', '수기', '사형 선고']",소설
137,날씨가 좋으면 찾아가겠어요,9.6,782,"['한국현대소설', '해원', '서점', '책방', '장편소설', '기와집']",소설
138,모스크바의 신사(양장본 HardCover),9.3,1044,"['소설', '미국소설', '백작', '호텔', '드라마원작소설', '버락 오바마']",소설
