축의 시대(종교의 탄생과 철학의 시작)(양장본 HardCover),9.3,45,"['공자', '플라톤', '종교사', '소크라테스', '이사야', '맹자']"
처음 읽는 중국사,9.5,30,"['중화민국', '동아시아', '춘추', '몽골', '만주족', '몽골족']"
실크로드 이야기(떠나기 전 읽어보는),0,0,"['발칸', '위구르', '흉노', '중국', '알렉산더', '시리아']"
매국노 고종,8.7,57,"['조선', '일본', '노론', '러일 전쟁', '대한제국', '대원군']"
신화와 축제의 땅 그리스 문명 기행,9.6,18,"['지중해', '산토리니', '그리스신화', '소크라테스', '에게', '카르타고']"
역사의 역사,9.2,19082,"['세계사', '헤로도토스', '신채호', '역사철학', '박은식', '사마천']"
주진오의 한국현재사,10,8,"['서재필', '역사인물', '이승만', '민주주의', '이봉창', '역사 학자']"
한국 치과의 역사,0,0,"['의학', '조선', '의료', '대한제국', '구강', '대한민국']"
"술, 질병, 전쟁: 미생물이 만든 역사",10,7,"['성경', '전쟁사', '감염병', '펠로폰네소스', '페니실린', '세균']"
조조의 재발견(양장본 HardCover),0,0,"['중국', '손자', '삼국', '장군', '발전', '유비']"
우리 궁궐 이야기,0,3,"['조선', '고종', '조선총독부', '장희빈', '역사 이야기', '대한제국']"
히트의 탄생,9.2,5,"['브랜드', '문화사', '두산', '생활상', '화장품', '한국']"
왕PD의 토크멘터리 조선왕조실록,9,14,"['조선', '태종', '김종서', '이성계', '태조', '세종']"
한 권으로 읽는 조선왕조실록(전면개정판 3판),9.5,211,"['조선', '왕후', '이성계', '광해군', '연산군', '숙종']"
팔레스타인 100년 전쟁,10,1,"['유럽', '이스라엘', '동양사', '리디', '촘스키', '선전 포고']"
재레드 다이아몬드의 나와 세계(양장본 HardCover),8.7,669,"['세계사', '중국', '유럽', '잠비아', '예멘', '서구']"
대변혁. 1: 19세기의 역사풍경(한길그레이트북스 176)(양장본 HardCover),10,4,"['빅토리아', '베르디', '내부', '이민', '공간', '주세페']"
나의 문화유산답사기. 9: 서울편(1),9,4265,"['조선', '장희빈', '답사여행', '창덕궁', '종묘', '게리']"
이토록 매혹적인 아랍이라니,9.8,32,"['예멘', '동양사', '사우디', '이슬람사', '아랍인', '이집트']"
상트페테르부르크,0,0,"['유럽', '스토리텔링', '러시아', '쇼스타코비치', '도시', '고대 로마']"
고구려의 숨겨진 역사를 찾아서(2판),0,2,"['유고', '제기', '사초', '시조', '장수', '번역']"
중동은 왜 싸우는가?,9.4,60,"['이슬람 제국', '나폴레옹', '이란', '아랍', '팔레스타인', '시리아']"
아틀라스 마이오르 세상에서 가장 아름다운 지도책(반양장),10,1,"['유럽', '네덜란드', '지도', '스페인어', '프랑스어', '라틴어']"
30개 도시로 읽는 세계사,8.2,1457,"['지중해', '세계사', '장안', '유럽', '흐름', '아테네']"
인간의 흑역사,9.3,122,"['세계사', '역사', '버즈', '콜럼버스', '마오쩌둥', '향연']"
호모 루덴스(개정판),9.5,21,"['인류학', '철학', '놀이', '플라톤', '의례', '현대']"
세계사를 바꾼 10가지 약,9,637,"['약학', '바이엘', '플레밍', '감염병', '강희제', '이에야스']"
처음 읽는 술의 세계사,9.3,40,"['유럽', '브랜디', '유라시아', '이슬람', '메소포타미아', '네덜란드']"
감염병이 바꾼 세계사,0,30,"['코로나', '중국', '유럽', '페스트', '나폴레옹', '팬데믹']"
리더를 위한 하멜 오디세이아(손관승 인문학 그랜드 투어),10,2,"['조선', '일본', '네덜란드', '세계역사인물', '제주도', '렘브란트']"
1페이지 세계사 365(세상의 모든 지식이 내 것이 되는),9.4,29,"['난징', '본회퍼', '홀로코스트', '팔레스타인', '왕양명', '간디']"
세상의 모든 지식이 내 것이 되는 1페이지 한국사 365,10,8,"['철학', '유튜브', '명문장', '유적', '유물', '국사']"
문화인류학자의 자기 민족지 제주도(문화와 역사를 담다 32),0,0,"['시집', '제주 사람', '해녀', '마을 공동체', '생활 세계', '현재']"
플루타르코스 영웅전 세트(완역본)(양장본 HardCover)(전5권),9.1,14,"['카토', '알렉산드로스', '한니발', '카이사르', '페리클레스', '브루투스']"
나의 문화유산답사기. 10: 서울편(2),9.2,1925,"['조선', '성균관', '답사여행', '한양', '백석', '흥선대원군']"
한국사 세계사 비교 연표,0,0,"['유럽', '조선', '로마 제국', '서로마', '멸망', '중세']"
규원사화,9.2,12,"['역사', '상고사', '단군조선', '금서', '신시', '구원']"
역사란 무엇인가(개정판 2판),9.5,246,"['데이비스', '역사학', '루비콘', '카이사르', '개역', '소련']"
유라시아 견문. 1,9.5,60,"['중국', '이슬람', '몽골', '장안', '인도양', '스트리트']"
진실의 흑역사,8.6,51,"['일상', '버즈', '거짓', '사회', '피드', '사건']"
최초의 신화 길가메쉬 서사시(양장본 HardCover),9.8,22,"['죽음', '히어로', '수메르', '기원', '바빌로니아', '메소포타미아']"
세계사를 바꾼 16가지 꽃 이야기,9.8,53,"['사랑', '죽음', '예술', '미술', '체르노빌', '마오쩌둥']"
결국 이기는 사마의,9.7,76,"['중국', '사마의', '삼국시대', '사마', '중국역사인물', '제갈량']"
리더라면 정조처럼,8.9,747,"['조선', '문재인', '조선후기', '주역', '정책', '혜경궁']"
세계사를 바꾼 13가지 식물,9.2,715,"['유럽', '콜럼버스', '후추', '중국', '중앙 아시아', '아편전쟁']"
세상엔 알고 싶은 건축물이 너무도 많아,9.6,28,"['건축', '판테온', '성당', '파리', '카사', '고대']"
로마 시티 ROME CITY,10,152,"['카이사르', '문명', '건축물', '율리우스', '고대', '로마제국']"
대운하 시대(양장본 HardCover),10,2,"['중국', '유럽', '건륭제', '리치', '북경', '양주']"
메이지유신을 설계한 최후의 사무라이들(서가명강 14),9.7,53,"['조선', '근대 일본', '일본사', '일본근현대사', '료마', '사카모토']"
글록(건들건들 컬렉션),9.6,16,"['밀리터리', '전쟁사', '가스통', '총기', '미국 사회', '권총']"
피에 젖은 땅(걸작 논픽션 22)(양장본 HardCover),9.9,26,"['경제', '스탈린', '사회', '유대인', '유럽', '문화']"
하멜표류기,8.9,231,"['조선', '한국사', '유럽', '조선시대', '나가사키', '네덜란드']"
북유럽 신화,9.3,66,"['로키', '에디션', '유럽신화', '프레이', '토르', '아스가르드']"
희생자의식 민족주의,10,4,"['역사', '홀로코스트', '일본군', '문화', '아우슈비츠', '일본']"
땅의 역사. 5: 흑역사,0,0,"['조선', '연산군', '송시열', '대한제국', '고종', '김옥균']"
전두환 타서전,2.5,2,"['광주', '김대중', '노태우', '박정희', '김일성', '총장']"
일본 문화(알면 다르게 보이는),9.6,14,"['일본어', '일본학', '조선 통신사', '일본인', '내사', '한국']"
만주 모던(현대의 지성 163)(양장본 HardCover),9.6,28,"['엑소더스', '조선총독부', '부산', '웨스턴', '동아시아', '조선']"
문명의 붕괴(Collapse),9.4,73,"['그린란드', '문명사', '마야', '폴리네시아', '맬서스', '이스터']"
대변혁. 2: 19세기의 역사풍경(한길그레이트북스 177)(양장본 HardCover),10,6,"['유럽', '북아메리카', '남아메리카', '제국', '유라시아 대륙', '남아프리카']"
대변혁. 3: 19세기의 역사풍경(한길그레이트북스 178)(양장본 HardCover),10,4,"['혁신', '유럽', '종교', '베르디', '부르주아', '노동']"
대항해 시대(양장본 HardCover),9.7,73,"['유럽', '세계사', '중국', '동인도', '포르투갈', '아메리카']"
대서양의 무법자(아우또노미아총서 77),10,1,"['아프리카인', '선원', '에드워드', '헨리', '노예', '아메리카']"
전환기 현대사의 역사상,0,0,"['제주', '박정희', '김재규', '본회퍼', '여운형', '광주']"
전염병의 세계사(히스토리아 문디 04),8.9,18,"['의학', '유라시아', '몽골 제국', '조지프', '페루', '로마']"
영국 귀족의 영애,0,0,"['로맨스', '웨딩', '초의', '비타', '사교계', '데뷔']"
신화의 종말,9.8,16,"['도널드 트럼프', '오늘날 미국', '변경', '중동', '바이든', '멕시코']"
그랜드 투어,9,11,"['예술가', '근대 유럽', '유럽 대륙', '귀족', '프랑스', '서양사']"
박시백의 조선왕조실록(특별 세트)(전20권),10,6,"['한국사', '에디션', '조선', '조광조', '조선왕조사', '이순신']"
황제 프리드리히 2세의 생애(상),9.1,11,"['유럽', '예루살렘', '로마인 이야기', '교황', '신성 로마 제국', '술탄']"
세계사를 바꾼 12가지 신소재,9.5,87,"['콜라겐', '플라스틱', '진주', '재료 과학', '콜럼버스', '도자기']"
중국은 역사상 한국의 일부였다,10,2,"['조선', '몽골족', '한국고대사', '시진핑', '흉노', '여진족']"
난중일기 교주본(신완역)(양장본 HardCover),10,16,"['중국', '민음사', '세계기록유산', '충무공', '일기', '유네스코']"
나의 문화유산답사기. 1(개정증보판 2판),9.5,466,"['담양', '한국역사기행', '경주', '한국문화유적', '해남', '답사']"
나의 문화유산답사기: 산사 순례(반양장),9.1,2930,"['추사', '역사기행', '안동', '청도', '유네스코세계유산', '가람']"
"삼국시대, 진실과 반전의 역사(서가명강 시리즈 12)",9.3,49,"['한국사', '한국 고대사', '서울대', '일본', '다이나믹', '유적']"
아틀라스 중국사(개정증보판)(아틀라스 역사 시리즈 3)(양장본 HardCover),9.8,44,"['건륭제', '만주족', '춘추', '중화민국', '초원', '몽골']"
30년 전쟁(1618-1648),9.4,7,"['전쟁사', '에스파냐', '유럽사', '스웨덴', '독일', '영국']"
대한민국 역사,9.5,22,"['김재규', '한국현대사', '마산', '창원', '이승만 대통령', '북한']"
안중근 재판정 참관기,9.9,15,"['일본', '하얼빈', '돋보기', '러일', '조선', '헤이그']"
유라시아 견문. 3,9.4,40,"['유럽', '유고', '파리', '역사기행', '발칸', '푸코']"
식민지 조선인을 논하다(보급판)(동국대학교출판부 문화학술총서),8.7,8,"['조선총독부', '조선인', '일본 제국', '도쿄대', '이어령', '이광수']"
국가경영은 세종처럼,10,1,"['조선', '훈민정음', '조선왕조실록', '도올', '김용옥', '황희']"
이덕일의 한국통사: 선사시대-대한제국 편,9.4,48,"['조선', '중국', '한국사', '신라', '조선시대', '노론']"
10년 후 세계사 두 번째 미래,8.5,18,"['인공지능', '코로나', '기계', '메르켈', '포퓰리즘', '실리콘밸리']"
황제 프리드리히 2세의 생애(하),9.4,11,"['유럽', '리옹', '시칠리아', '로마인 이야기', '교황', '피에르']"
세계사를 바꾼 50가지 동물,0,1,"['역사', '노르망디', '전쟁', '다윈', '문명', '돌리']"
신의 전쟁(양장본 HardCover),10,12,"['이슬람 국가', '종교 전쟁', '폭력', '홉스', '종교 재판', '마르틴 루터']"
본격 한중일 세계사. 11: 서남전쟁과 위구르 봉기,9.7,15,"['밀리터리', '한국사', '한중일', '신강', '동아시아', '무슬림']"
설민석의 무도 한국사 특강(개정판),9.6,431,"['단군왕검', '역사인물', '이성계', '한국역사', '안중근', '세종']"
제일 처음 굴을 먹은 사람은 누구일까,0,0,"['역사', '세계사', '모험', '살인사건', '프로파일링', '사이코패스']"
갈등 도시(서울 선언 2),8.5,12,"['다산', '재개발', '파주', '도시학', '강남', '재건축']"
로마인 이야기 세트(전15권),9.6,15,"['로마', '율리우스', '카이사르', '한니발', '로마사', '무하마드']"
