참 애썼다 그것으로 되었다(10만부 판매 기념 한정판),9.4,259,"['위로', '사랑', '상처', '공감', '불안', '에디션']"
조구만 일력(2022)(스프링),10,3,"['그림', '우울', '감정', '매달', '포토', '메시지']"
좋은 사람에게만 좋은 사람이면 돼,9.5,499,"['한국에세이', '인간관계', '관계', '처방전', '타인', '홈런']"
운명은 아직 결정되지 않았다(양장본 HardCover),10,18,"['위로', '성공', '사주', '인생', '대운', '사주팔자']"
바다는 잘 있습니다(문학과지성 시인선 503),9.4,415,"['시집', '한국시', '현대시', '혼잣말', '내시경', '담장']"
운다고 달라지는 일은 아무것도 없겠지만,9.1,1903,"['시인', '위로', '무심', '기드온', '쑥국', '고아']"
오늘은 더 좋은 날이 될 거예요(스프링),10,7,"['행복', '일러스트', '위로', '사랑', '작가', '케이스']"
우리가 서로에게 선물이 된다면,9.8,40,"['이혼', '희망', '퍼스트레이디', '감동', '메릴랜드', '래리']"
내가 죽으면 장례식에 누가 와줄까(너나들이 리커버 에디션),9.4,415,"['위로', '한국에세이', '인간관계', '관계', '행복', '삶의지혜']"
취향의 기쁨,9.3,28,"['한국에세이', '응원', '습관', '단발머리', '대교', '정의']"
가만히 있어도 괜찮다 말해주길(투게더 에디션),9,59,"['한국에세이', '마음', '상처', '위로', '처방전', '초조']"
참 소중한 너라서(있는 그대로),9.1,728,"['위로', '사랑', '연애', '인간관계', '감성에세이', '작가']"
나쁜 기억 지우개,10,13,"['위로', '한국에세이', '유의어', '힌트', '감동', '오늘']"
모래알만 한 진실이라도(양장본 HardCover),9.2,5098,"['인생', '한국에세이', '에세이', '일상', '작가', '산문']"
너에게 주고픈 아름다운 시(양장본 HardCover),9.8,20,"['나태주', '봄눈', '현대시', '정호승', '김수영', '윤동주']"
명랑한 은둔자,9.7,196,"['에세이', '관계', '우정', '미스터리', '알코올 중독', '자유']"
멋쟁이 희극인,9.3,13,"['한국에세이', '트위터', '아이디어', '강연', '메모', '물성']"
애정하는 사람,10,2,"['사랑', '에세이', '행복', '가수', '슈퍼스타', '연예인']"
가난해지지 않는 마음,9.5,14,"['한국에세이', '다솔', '요조', '풍자', '빙수', '도시']"
지구인만큼 지구를 사랑할 순 없어,9.7,544,"['작가', '여행 에세이', '순정', '비밀 기지', '방패', '예림']"
삶으로 다시 떠오르기,9.8,201,"['일본어', '명상에세이', '에고', '류시화', '행성', '영적']"
"유일한, 평범(KI신서 9958)",10,18,"['응원', '유튜브', '아나운서', '프리랜서', '난임', '방송인']"
어쩌면 별들이 너의 슬픔을 가져갈지도 몰라(감성치유 라이팅북),9.4,876,"['한국시', '이성복', '니체', '현대시', '이병률', '필사']"
100 인생 그림책(Dear 그림책)(양장본 HardCover),9.8,112,"['그림 에세이', '진짜 모습', '독일에세이', '책장', '나이', '순간']"
나는 나에게 좋은 사람이고 싶어,10,24,"['한국에세이', '에세이', '청춘', '행복', '라비', '브런치']"
너에게만 좋은 사람이 되고 싶어(리커버 한정판),9.2,378,"['위로', '감성에세이', '인스타그램', '사랑', '아포리즘', '다다']"
시와 산책(말들의 흐름 4)(반양장),9.7,109,"['한국에세이', '시인', '작가', '에밀리 디킨슨', '서로', '산문집']"
나라는 식물을 키워보기로 했다,9.8,73,"['한국에세이', '그림 에세이', '성장', '일상', '단어장', '셀프']"
사랑의 온도,9.7,136,"['연애', '연애소설', '이별', '위로', '에세', '자존']"
당신의 이름을 지어다가 며칠은 먹었다(문학동네시인선 32),9.3,406,"['시집', '한국시', '현대시', '허수경', '실천 문학', '서정시']"
여행의 이유,9.3,8781,"['한국에세이', '상처', '중국', '글쓰기', '추방', '여행자']"
사라지고 있지만 사랑하고 있습니다,10,14,"['한국에세이', '감정', '화수분', '남궁', '치매 노인', '치매']"
사랑이 밥 먹여준다,10,2,"['사랑', '한국에세이', '상처', '신부', '코로나', '노숙인']"
소년과 두더지와 여우와 말(양장본 HardCover),9.8,68,"['그림에세이', '그림', '그래픽 노블', '성찰', '톤즈', '영미에세이']"
세상에 나 혼자라고 느껴질 때,10,15,"['코로나', '위로', '행복', '외로움', '루틴', '일본에세이']"
하프 브로크,9.2,3,"['상처', '내면', '목장', '문제 행동', '동물', '재소자']"
죽고 싶지만 떡볶이는 먹고 싶어,8.6,17315,"['우울', '심리치료', '우울증', '마음 한구석', '별일', '상담 치료']"
월든(완결판)(개정판 3판),9.4,330,"['세계고전문학', '삶', '법정 스님', '예비 교사', '호숫가', '미국고전']"
달리기를 말할 때 내가 하고 싶은 이야기(양장본 HardCover),9.7,203,"['회고록', '자전적에세이', '마라톤', '소설가', '풀코스', '지구력']"
지금 알고 있는 걸 그때도 알았더라면,9.4,276,"['시집', '시인', '기도문', '고백록', '산상 수훈', '잠언']"
쉬운 천국,9.7,48,"['한국에세이', '여행에세이', '베를린', '그래머', '비엔나', '런던']"
모국어는 차라리 침묵(양장본 HardCover),10,1,"['한국에세이', '에세이', '정원', '관객', '공연 예술', '비평']"
창작과 농담,10,2,"['레즈비언', '소윤', '밴드', '유부녀', '흠모', '영화 감독']"
쓸 만한 인간(개정증보판),9.5,294,"['위로', '감성에세이', '손글씨', '배우', '힐링에세이', '일러스트']"
씩씩한 항암녀의 속.엣.말,10,21,"['위로', '한국에세이', '상처', '관계', '암 환자', '방송인']"
따뜻한 심리학,0,0,"['시인', '심리학자', '오지랖', '모란', '모란꽃', '밑바닥']"
천문학자는 별을 보지 않는다,9.7,66,"['우주', '미스터리', '천문학', '용기', '씨네', '자연']"
이제 그냥 즐기려고요,10,7,[]
크루아상 사러 가는 아침,9.8,8,"['순위', '프랑스에세이', '프랑스', '멜랑콜리', '상업', '누적 판매 부수']"
모리와 함께한 화요일(양장본 HardCover),9.6,160,"['스승', '히비스커스', '에머슨', '디트로이트', '연민', '대학 시절']"
보통의 언어들(나를 숨 쉬게 하는)(양장본 HardCover),9,1043,"['위로', '한국에세이', '심리학', '관계', '마음', '감정']"
시소 인생,10,12,"['위로', '불안', '타인', '현재', '현실', '행복']"
죽음의 수용소에서(빅터 프랭클의),9.8,33,"['강제 수용소', '나치', '카포', '자서전', '승화', '각축장']"
"우리, 이토록 작은 존재들을 위하여",9.8,42,"['인문학', '칼 세이건', '드루', '천문학자', '리듬', '도킨스']"
어떤 죽음이 삶에게 말했다,9.7,191,"['한국에세이', '삶', '의사', '암 환자', '암 진단', '종양']"
더 로스트 키친,0,0,"['에세이', '셰프', '요리', '김금희', '정혜윤', '식당']"
"세리, 인생은 리치하게",9.7,14,"['한국에세이', '인간관계', '언니', '레전드', '올림픽', '반려견']"
끝까지 남겨두는 그 마음(교보단독 리커버 겨울 리미티드 에디션),9.7,123,"['인생', '시집', '시인', '캘리그라피', '한국시', '필사']"
젊은 ADHD의 슬픔,9.9,17,"['위로', '엉망진창', '보영', '화해', '실수', '짠맛']"
스물아홉 생일 1년 후 죽기로 결심했다,9.2,702,"['시한부', '자전적에세이', '우울', '라스베이거스', '선고', '치열']"
공룡 테라피(양장본 HardCover),10,5,"['우울', '불안', '만화', '인스타그램', '영미에세이', '처방전']"
참 눈치 없는 언어들,9.5,46,"['한국에세이', '관계', '아픔']"
수학자의 아침(문학과지성 시인선 437),9.6,81,"['시집', '한국시', '슬픔', '현대시', '황현산', '걸리버']"
우리가 함께 장마를 볼 수도 있겠습니다(문학과지성 시인선 519),9.3,245,"['한국시', '신형철', '현대시', '천변', '허수경', '화자']"
좋은지 나쁜지 누가 아는가,9.7,419,"['한국에세이', '시집', '삶', '시인', '인생', '만트라']"
그게 너였으면 좋겠다,9.8,108,"['사랑', '한국에세이', '에세이', '상처', '불안', '인스타그램']"
새 마음으로,10,3,"['노동자', '경리', '인쇄소', '청소', '응급실', '수선']"
직업으로서의 소설가(양장본 HardCover),9.5,576,"['에세이', '글쓰기', '일본에세이', '생각', '성실', '사고']"
월든(초판본)(1854년 오리지널 초판본 표지디자인 금장 에디션 한정판)(양장본 HardCover),9.8,14,"['에세이', '자본주의', '실험', '호숫가', '자급자족', '오두막']"
새는 날아가면서 뒤돌아보지 않는다,9.5,408,"['시인', '산문집', '찻잔', '한국현대수필', '속살', '회복']"
하루를 물들이는 수채화 일력,10,6,"['위로', '다이어리', '응원', '작가', '오리', '매일']"
존재만으로 빛나는,9.4,51,"['한국에세이', '감정', '엄마 아빠', '타인', '순간', '공감 능력']"
하마터면 열심히 살 뻔했다,8.9,5543,"['인생', '매뉴얼', '인생에세이', '힐링에세이', '세례', '독신주의']"
떠난 후에 남겨진 것들(양장본 HardCover),9.6,101,"['한국에세이', '죽음', '유품', '희망', '마지막 순간', '고독사']"
우아하고 호쾌한 여자 축구,9.7,98,"['축구', '일상에세이', '드리블', '생활체육', '리프팅', '인사이드']"
숨결이 바람 될 때(양장본 HardCover),9.4,906,"['죽음', '감동실화', '루시', '신경외과', '폐암', '레지던트']"
가지 말라는데 가고 싶은 길이 있다(나태주 스페셜 에디션)(양장본 HardCover),9.8,57,"['시집', '시인', '장편소설', '풀꽃', '일생', '시 가운데']"
하고 싶은 대로 살아도 괜찮아,8.2,3329,"['위로', '인생', '행복', '공감', '교보문고', '에디션']"
너에게 하고 싶은 말(양장본 HardCover),9.3,54,"['사랑', '연애', '일러스트', '상처', '우정', '공감']"
더 성숙한 내가 되는 법,9,14,"['사랑', '에세이', '인간관계', '관계', '상처', '조언']"
애쓰지 않고 편안하게,9,4320,"['에세이', '상처', '관계', '공감', '위로', '인간관계']"
어느 책 수선가의 기록(양장본 HardCover),0,0,"['의뢰인', '파손', '흔적', '종이', '의뢰', '책장']"
이다음 봄에 우리는(아침달 시집 22),0,0,"['시인', '마음', '겨울 풍경', '감각', '겹겹', '파블로프']"
뉘앙스,0,0,"['시인', '슬픔', '아네모네', '난치병', '병동', '소아']"
귀여움 견문록,8.8,17,"['행복', '일상', '권남희', '아플리케', '무루', '일본에세이']"
서랍에 저녁을 넣어 두었다(문학과지성 시인선 438),9.5,194,"['시집', '한국시', '현대시', '영혼', '유월', '소생']"
시 보다 2021,10,3,"['시인', '문학상', '김행숙', '김언', '류진', '강동호']"
언제 들어도 좋은 말(개정판),9.8,15,"['장편소설', '감성에세이', '서사', '보통', '베스트셀러', '초판']"
헤르만 헤세의 나무들(양장본 HardCover),9.8,36,"['위로', '시집', '에세이', '문학상', '묘비명', '세밀화']"
불안(양장본 HardCover),9.3,292,"['에세이', '버지니아 울프', '불안감', '능력주의', '철학서', '기독교']"
곱게 지지 말기로 해,10,1,"['페미니즘', '여성', '클라이언트', '빙수', '동시대', '망고']"
50 홍정욱 에세이,8.7,480,"['한국에세이', '행보', '창업자', '자전적에세이', '글귀', '경영자']"
